AC,AF,AR,AS,AST,AY,AwayTeam,B365A,B365D,B365H,BWA,BWD,BWH,Date,Day,Div,FTAG,FTHG,FTR,HC,HF,HR,HS,HST,HTAG,HTHG,HTR,HY,HomeTeam,IWA,IWD,IWH,Month,Referee,VCA,VCD,VCH,Year,season
7.0,6.0,0.0,8.0,2.0,1.0,Reading,2.8,3.1,2.5,2.8,3.15,2.35,2006-09-16,16,E0,2.0,1.0,A,8.0,12.0,0.0,14.0,7.0,2.0,0.0,A,2.0,Sheffield United,2.8,3.1,2.3,09,A Marriner,3.0,3.25,2.25,06,0607
1.0,10.0,0.0,9.0,4.0,0.0,Aston Villa,2.5,3.2,2.75,2.4,3.15,2.75,2006-09-16,16,E0,0.0,0.0,D,7.0,12.0,0.0,12.0,5.0,0.0,0.0,D,1.0,Watford,2.4,3.1,2.7,09,M Dean,2.25,3.25,3.0,06,0607
6.0,11.0,0.0,16.0,9.0,3.0,Newcastle,3.5,3.2,2.1,3.25,3.15,2.1,2006-09-17,17,E0,2.0,0.0,A,5.0,11.0,0.0,10.0,7.0,0.0,0.0,D,3.0,West Ham,3.3,3.2,2.0,09,R Styles,3.6,3.25,2.0,06,0607
2.0,20.0,0.0,8.0,3.0,2.0,Fulham,6.0,3.4,1.61,5.8,3.55,1.55,2006-09-17,17,E0,0.0,0.0,D,12.0,11.0,0.0,18.0,8.0,0.0,0.0,D,2.0,Tottenham,4.5,3.5,1.65,09,M Clattenburg,5.5,3.5,1.6,06,0607
3.0,11.0,0.0,15.0,8.0,3.0,Man City,3.75,3.2,2.0,3.55,3.15,2.0,2006-09-17,17,E0,2.0,4.0,H,4.0,11.0,0.0,11.0,5.0,2.0,2.0,D,2.0,Blackburn,3.2,3.1,2.1,09,M Atkinson,3.5,3.25,2.0,06,0607
3.0,17.0,0.0,9.0,6.0,2.0,Liverpool,4.5,3.25,1.83,5.0,3.2,1.7,2006-09-17,17,E0,0.0,1.0,H,1.0,13.0,1.0,4.0,3.0,0.0,1.0,H,3.0,Chelsea,4.2,3.3,1.75,09,M Riley,4.5,3.4,1.73,06,0607
5.0,11.0,0.0,14.0,7.0,2.0,Arsenal,4.0,3.25,1.9,4.25,3.2,1.8,2006-09-17,17,E0,1.0,0.0,A,10.0,11.0,0.0,17.0,9.0,0.0,0.0,D,2.0,Man United,3.6,3.2,1.9,09,G Poll,4.35,3.2,1.85,06,0607
6.0,13.0,0.0,11.0,6.0,1.0,Newcastle,6.5,3.6,1.53,6.4,3.6,1.5,2006-09-20,20,E0,0.0,2.0,H,8.0,12.0,0.0,22.0,11.0,0.0,1.0,H,1.0,Liverpool,5.5,3.8,1.5,09,M Halsey,7.0,3.75,1.5,06,0607
2.0,8.0,0.0,5.0,4.0,1.0,Sheffield United,17.0,5.5,1.2,14.0,6.0,1.16,2006-09-23,23,E0,0.0,3.0,H,7.0,11.0,0.0,14.0,11.0,0.0,0.0,D,2.0,Arsenal,11.0,5.2,1.2,09,A Wiley,12.0,6.0,1.2,06,0607
4.0,14.0,0.0,8.0,3.0,1.0,Charlton,4.33,3.4,1.8,4.9,3.4,1.65,2006-09-23,23,E0,0.0,2.0,H,4.0,10.0,0.0,12.0,5.0,0.0,1.0,H,0.0,Aston Villa,4.3,3.4,1.7,09,M Riley,5.5,3.5,1.6,06,0607
